STATION,DATE,TMAX,TMIN
USW00094728,2/23/15,38,8
USW00094728,2/24/15,24,4
USW00094728,2/25/15,37,20
USW00094728,2/26/15,32,21
USW00094728,2/27/15,30,18
USW00094728,2/28/15,29,13
USW00094728,3/1/15,31,24
USW00094728,3/2/15,39,27
USW00094728,3/3/15,37,22
USW00094728,3/4/15,45,35
USW00094728,3/5/15,40,19
USW00094728,3/6/15,27,12
USW00094728,3/7/15,38,18
USW00094728,3/8/15,49,37
USW00094728,3/9/15,54,40
USW00094728,3/10/15,53,39
USW00094728,3/11/15,59,44
USW00094728,3/12/15,47,36
USW00094728,3/13/15,43,31
USW00094728,3/14/15,51,40
USW00094728,3/15/15,44,36
USW00094728,3/16/15,52,35
USW00094728,3/17/15,57,34
USW00094728,3/18/15,39,29
USW00094728,3/19/15,43,29
USW00094728,3/20/15,38,29
USW00094728,3/21/15,47,29
USW00094728,3/22/15,43,28
USW00094728,3/23/15,38,23
USW00094728,3/24/15,45,26
USW00094728,3/25/15,49,34
USW00094728,3/26/15,62,42
USW00094728,3/27/15,46,39
USW00094728,3/28/15,40,26
USW00094728,3/29/15,46,25
USW00094728,3/30/15,54,36
USW00094728,3/31/15,47,35
USW00094728,4/1/15,51,32
USW00094728,4/2/15,67,41
USW00094728,4/3/15,64,59
USW00094728,4/4/15,60,42
USW00094728,4/5/15,61,42
USW00094728,4/6/15,63,42
USW00094728,4/7/15,62,42
USW00094728,4/8/15,45,37
USW00094728,4/9/15,43,37
USW00094728,4/10/15,56,39
USW00094728,4/11/15,57,44
USW00094728,4/12/15,66,43
USW00094728,4/13/15,68,50
USW00094728,4/14/15,65,55
USW00094728,4/15/15,72,51
USW00094728,4/16/15,64,52
USW00094728,4/17/15,71,55
USW00094728,4/18/15,80,59
USW00094728,4/19/15,64,48
USW00094728,4/20/15,57,46
USW00094728,4/21/15,65,52
USW00094728,4/22/15,69,48
USW00094728,4/23/15,52,41
USW00094728,4/24/15,52,39
USW00094728,4/25/15,62,38
USW00094728,4/26/15,64,46
USW00094728,4/27/15,62,49
USW00094728,4/28/15,71,50
USW00094728,4/29/15,78,50
USW00094728,4/30/15,67,48
USW00094728,5/1/15,63,49
USW00094728,5/2/15,74,48
USW00094728,5/3/15,80,51
USW00094728,5/4/15,85,57
USW00094728,5/5/15,85,66
USW00094728,5/6/15,73,59
USW00094728,5/7/15,80,56
USW00094728,5/8/15,82,56
USW00094728,5/9/15,70,57
USW00094728,5/10/15,83,61
USW00094728,5/11/15,84,70
USW00094728,5/12/15,86,64
USW00094728,5/13/15,70,53
USW00094728,5/14/15,73,50
USW00094728,5/15/15,75,55
USW00094728,5/16/15,75,57
USW00094728,5/17/15,83,64
USW00094728,5/18/15,75,60
USW00094728,5/19/15,80,59
USW00094728,5/20/15,67,54
